bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34
pg13150-1,0.0185,0.0873,0.0035,0.0404,0.0169,0.0301,0.0300,0.0502,0.0437,0.0011,0.0072,0.0122,0.0014,0.1007,0.0100,0.0062,0.2500,0.3333,0.4167,0.6691,-0.0752,-0.5596,-0.0071,-0.0050,-0.0044,-0.0002,-0.0024,0.0137,-0.0009,-0.0080,0.0148,-0.0007,0.0288,0.0000,0.0000
pg16345-2,0.0187,0.2352,0.0827,0.0738,0.0363,0.0280,0.0392,0.0747,0.0279,0.0028,0.0084,0.0037,0.0066,0.1288,0.1061,0.0268,0.3448,0.2414,0.4138,0.6100,-0.1612,0.2226,-0.0064,-0.0070,-0.0065,0.0018,-0.0066,0.0037,0.0086,0.0115,0.0109,-0.0099,0.3557,0.1579,0.0000
pg16345-1,0.0241,0.1567,0.0960,0.0787,0.0317,0.0241,0.0333,0.0721,0.0333,0.0014,0.0077,0.0040,0.0145,0.1185,-0.0444,0.0419,0.5172,0.2069,0.2759,0.7205,-0.1612,0.2226,-0.0064,-0.0070,-0.0065,0.0018,-0.0066,0.0037,0.0086,0.0115,0.0109,-0.0099,0.3729,0.1053,0.0000
pg19145-4,0.0176,0.4342,0.0140,0.0632,0.0227,0.0253,0.0293,0.0404,0.0493,0.0002,0.0006,0.0085,0.0036,0.0790,-0.0568,0.0296,0.4333,0.1000,0.4667,0.7683,-0.1096,-0.0149,-0.0022,0.0008,0.0039,0.0099,-0.0096,-0.0086,0.0126,-0.0074,-0.0048,0.0053,0.2152,0.2105,0.0000
pg19145-5,0.0123,0.7121,0.0000,0.0613,0.0252,0.0267,0.0341,0.0455,0.0451,0.0000,0.0011,0.0077,0.0031,0.0884,-0.0264,0.0039,0.3000,0.1333,0.5667,0.7343,-0.1096,-0.0149,-0.0022,0.0008,0.0039,0.0099,-0.0096,-0.0086,0.0126,-0.0074,-0.0048,0.0053,0.0339,0.1053,0.0000
pg19145-2,0.0178,0.3497,0.0000,0.0613,0.0182,0.0226,0.0317,0.0403,0.0486,0.0001,0.0016,0.0119,0.0041,0.0856,-0.0707,0.0279,0.5000,0.0667,0.4333,0.7733,-0.1096,-0.0149,-0.0022,0.0008,0.0039,0.0099,-0.0096,-0.0086,0.0126,-0.0074,-0.0048,0.0053,0.1693,0.1579,0.0000
pg19145-3,0.0172,0.4215,0.0553,0.0660,0.0244,0.0222,0.0302,0.0406,0.0491,0.0000,0.0008,0.0103,0.0023,0.0819,-0.0652,0.0325,0.5000,0.2667,0.2333,0.8200,-0.1096,-0.0149,-0.0022,0.0008,0.0039,0.0099,-0.0096,-0.0086,0.0126,-0.0074,-0.0048,0.0053,0.2183,0.2368,0.0000
pg19145-8,0.0189,0.5711,0.0000,0.0673,0.0249,0.0281,0.0259,0.0426,0.0426,0.0000,0.0006,0.0124,0.0053,0.0814,-0.0397,0.0229,0.4000,0.2000,0.4000,0.7347,-0.1096,-0.0149,-0.0022,0.0008,0.0039,0.0099,-0.0096,-0.0086,0.0126,-0.0074,-0.0048,0.0053,0.1799,0.1053,0.0000
pg19145-6,0.0176,0.4628,0.0000,0.0553,0.0214,0.0251,0.0284,0.0445,0.0477,0.0000,0.0011,0.0105,0.0035,0.0845,-0.0535,0.0248,0.4667,0.1000,0.4333,0.7559,-0.1096,-0.0149,-0.0022,0.0008,0.0039,0.0099,-0.0096,-0.0086,0.0126,-0.0074,-0.0048,0.0053,0.1941,0.1579,0.0000
pg19145-7,0.0160,0.6894,0.0000,0.0629,0.0279,0.0243,0.0270,0.0459,0.0464,0.0001,0.0006,0.0116,0.0038,0.0852,-0.0490,0.0158,0.8333,0.0000,0.1667,0.7701,-0.1096,-0.0149,-0.0022,0.0008,0.0039,0.0099,-0.0096,-0.0086,0.0126,-0.0074,-0.0048,0.0053,0.0985,0.1053,0.0000
pg19145-1,0.0190,0.5311,0.0012,0.0648,0.0220,0.0233,0.0278,0.0454,0.0528,0.0000,0.0015,0.0102,0.0068,0.0849,-0.0954,0.0279,0.4667,0.1667,0.3667,0.7570,-0.1096,-0.0149,-0.0022,0.0008,0.0039,0.0099,-0.0096,-0.0086,0.0126,-0.0074,-0.0048,0.0053,0.1543,0.1316,0.0000
pg55046-1,0.0076,0.0597,0.0021,0.0322,0.0147,0.0265,0.0348,0.0486,0.0340,0.0024,0.0124,0.0094,0.0003,0.1076,0.1153,0.0010,0.6250,0.3125,0.0625,0.3989,-0.0947,-0.9560,0.0120,0.0086,0.0003,-0.0084,-0.0092,-0.0011,-0.0080,0.0089,0.0049,-0.0080,0.0000,0.0000,0.0000
pg17308-10,0.0210,0.2442,0.1382,0.0984,0.0261,0.0189,0.0327,0.0576,0.0401,0.0023,0.0105,0.0154,0.0071,0.1185,-0.0384,0.0383,0.4815,0.2222,0.2963,0.7521,0.0624,-0.2339,0.0104,0.0053,-0.0099,-0.0011,-0.0072,-0.0058,0.0087,-0.0098,-0.0020,0.0114,0.3519,0.4737,0.0000
pg17308-11,0.0218,0.2297,0.1336,0.0933,0.0212,0.0207,0.0294,0.0588,0.0418,0.0017,0.0126,0.0173,0.0091,0.1198,-0.0600,0.0408,0.4444,0.2593,0.2963,0.7553,0.0624,-0.2339,0.0104,0.0053,-0.0099,-0.0011,-0.0072,-0.0058,0.0087,-0.0098,-0.0020,0.0114,0.3530,0.5000,0.0000
pg11005-2,0.0244,0.3621,0.2579,0.1107,0.0227,0.0234,0.0263,0.0507,0.0883,0.0004,0.0020,0.0047,0.0089,0.0841,-0.1862,0.0714,0.6275,0.1765,0.1961,0.8164,0.0017,-0.2084,-0.0046,0.0096,0.0010,0.0094,0.0140,-0.0029,0.0005,-0.0087,-0.0108,-0.0074,0.3026,0.7895,0.0000
pg17308-12,0.0211,0.1838,0.1969,0.0986,0.0233,0.0200,0.0297,0.0592,0.0408,0.0022,0.0123,0.0132,0.0106,0.1166,-0.0652,0.0412,0.5000,0.1538,0.3462,0.7688,0.0624,-0.2339,0.0104,0.0053,-0.0099,-0.0011,-0.0072,-0.0058,0.0087,-0.0098,-0.0020,0.0114,0.3521,0.4211,0.0000
pg11005-1,0.0257,0.4053,0.1604,0.0753,0.0182,0.0237,0.0262,0.0542,0.0804,0.0010,0.0021,0.0035,0.0072,0.0870,-0.1698,0.0656,0.6275,0.0784,0.2941,0.7853,0.0017,-0.2084,-0.0046,0.0096,0.0010,0.0094,0.0140,-0.0029,0.0005,-0.0087,-0.0108,-0.0074,0.2970,0.6316,0.0000
